subject,level,category
Further Maths,A-Level,Maths
Further Maths,International Baccalaureate,Maths
Further Maths,Degree (or higher),Maths
Further Maths,Scottish Highers,Maths
Maths,Primary (up to 11 years),Maths
Maths,GCSE (15-16 years),Maths
Maths,A-Level,Maths
Maths,International Baccalaureate,Maths
Maths,Degree (or higher),Maths
Maths,Nationals 4 and 5,Maths
Maths,Scottish Highers,Maths
Mechanics,A-Level,Maths
Mechanics,Degree (or higher),Maths
Mechanics,Scottish Highers,Maths
Pure Maths,A-Level,Maths
Pure Maths,Degree (or higher),Maths
Pure Maths,Scottish Highers,Maths
Statistics,A-Level,Maths
Statistics,Degree (or higher),Maths
Statistics,Scottish Highers,Maths
English,Primary (up to 11 years),English
English,GCSE (15-16 years),English
English,A-Level,English
English,International Baccalaureate,English
English,Degree (or higher),English
English,Nationals 4 and 5,English
English,Scottish Highers,English
English Language,Primary (up to 11 years),English
English Language,GCSE (15-16 years),English
English Language,A-Level,English
English Language,International Baccalaureate,English
English Language,Degree (or higher),English
English Language,Nationals 4 and 5,English
English Language,Scottish Highers,English
English Literature,Primary (up to 11 years),English
English Literature,GCSE (15-16 years),English
English Literature,A-Level,English
English Literature,International Baccalaureate,English
English Literature,Degree (or higher),English
English Literature,Nationals 4 and 5,English
English Literature,Scottish Highers,English
Phonics,Primary (up to 11 years),English
Reading,Primary (up to 11 years),English
Astronomy,GCSE (15-16 years),Science
Astronomy,A-Level,Science
Astronomy,International Baccalaureate,Science
Astronomy,Degree (or higher),Science
Astronomy,Nationals 4 and 5,Science
Astronomy,Scottish Highers,Science
Biochemistry,GCSE (15-16 years),Science
Biochemistry,A-Level,Science
Biochemistry,International Baccalaureate,Science
Biochemistry,Degree (or higher),Science
Biochemistry,Nationals 4 and 5,Science
Biochemistry,Scottish Highers,Science
Biology,GCSE (15-16 years),Science
Biology,A-Level,Science
Biology,International Baccalaureate,Science
Biology,Degree (or higher),Science
Biology,Nationals 4 and 5,Science
Biology,Scottish Highers,Science
Biomedical Science,GCSE (15-16 years),Science
Biomedical Science,A-Level,Science
Biomedical Science,International Baccalaureate,Science
Biomedical Science,Degree (or higher),Science
Biomedical Science,Nationals 4 and 5,Science
Biomedical Science,Scottish Highers,Science
Chemistry,GCSE (15-16 years),Science
Chemistry,A-Level,Science
Chemistry,International Baccalaureate,Science
Chemistry,Degree (or higher),Science
Chemistry,Nationals 4 and 5,Science
Chemistry,Scottish Highers,Science
Environmental Science,GCSE (15-16 years),Science
Environmental Science,A-Level,Science
Environmental Science,International Baccalaureate,Science
Environmental Science,Degree (or higher),Science
Environmental Science,Nationals 4 and 5,Science
Environmental Science,Scottish Highers,Science
Geology,GCSE (15-16 years),Science
Geology,A-Level,Science
Geology,International Baccalaureate,Science
Geology,Degree (or higher),Science
Geology,Nationals 4 and 5,Science
Geology,Scottish Highers,Science
Physics,GCSE (15-16 years),Science
Physics,A-Level,Science
Physics,International Baccalaureate,Science
Physics,Degree (or higher),Science
Physics,Nationals 4 and 5,Science
Physics,Scottish Highers,Science
Physiology,GCSE (15-16 years),Science
Physiology,A-Level,Science
Physiology,International Baccalaureate,Science
Physiology,Degree (or higher),Science
Physiology,Nationals 4 and 5,Science
Physiology,Scottish Highers,Science
Science,Primary (up to 11 years),Science
Science,GCSE (15-16 years),Science
Science,A-Level,Science
Science,International Baccalaureate,Science
Science,Nationals 4 and 5,Science
Science,Scottish Highers,Science
Arabic,Primary (up to 11 years),Languages
Arabic,GCSE (15-16 years),Languages
Arabic,A-Level,Languages
Arabic,International Baccalaureate,Languages
Arabic,Nationals 4 and 5,Languages
Arabic,Scottish Highers,Languages
Bulgarian,Primary (up to 11 years),Languages
Bulgarian,GCSE (15-16 years),Languages
Bulgarian,A-Level,Languages
Bulgarian,International Baccalaureate,Languages
Bulgarian,Nationals 4 and 5,Languages
Bulgarian,Scottish Highers,Languages
Cantonese,Primary (up to 11 years),Languages
Cantonese,GCSE (15-16 years),Languages
Cantonese,A-Level,Languages
Cantonese,International Baccalaureate,Languages
Cantonese,Nationals 4 and 5,Languages
Cantonese,Scottish Highers,Languages
Croatian,Primary (up to 11 years),Languages
Croatian,GCSE (15-16 years),Languages
Croatian,A-Level,Languages
Croatian,International Baccalaureate,Languages
Croatian,Nationals 4 and 5,Languages
Croatian,Scottish Highers,Languages
Czech,Primary (up to 11 years),Languages
Czech,GCSE (15-16 years),Languages
Czech,A-Level,Languages
Czech,International Baccalaureate,Languages
Czech,Nationals 4 and 5,Languages
Czech,Scottish Highers,Languages
Danish,Primary (up to 11 years),Languages
Danish,GCSE (15-16 years),Languages
Danish,A-Level,Languages
Danish,International Baccalaureate,Languages
Danish,Nationals 4 and 5,Languages
Danish,Scottish Highers,Languages
Dutch,Primary (up to 11 years),Languages
Dutch,GCSE (15-16 years),Languages
Dutch,A-Level,Languages
Dutch,International Baccalaureate,Languages
Dutch,Nationals 4 and 5,Languages
Dutch,Scottish Highers,Languages
English as a Foreign Language EFL,Primary (up to 11 years),Languages
English as a Foreign Language EFL,GCSE (15-16 years),Languages
English as a Foreign Language EFL,A-Level,Languages
English as a Foreign Language EFL,International Baccalaureate,Languages
English as a Foreign Language EFL,Nationals 4 and 5,Languages
English as a Foreign Language EFL,Scottish Highers,Languages
Estonian,Primary (up to 11 years),Languages
Estonian,GCSE (15-16 years),Languages
Estonian,A-Level,Languages
Estonian,International Baccalaureate,Languages
Estonian,Nationals 4 and 5,Languages
Estonian,Scottish Highers,Languages
Farsi,Primary (up to 11 years),Languages
Farsi,GCSE (15-16 years),Languages
Farsi,A-Level,Languages
Farsi,International Baccalaureate,Languages
Farsi,Nationals 4 and 5,Languages
Farsi,Scottish Highers,Languages
Finnish,Primary (up to 11 years),Languages
Finnish,GCSE (15-16 years),Languages
Finnish,A-Level,Languages
Finnish,International Baccalaureate,Languages
Finnish,Nationals 4 and 5,Languages
Finnish,Scottish Highers,Languages
French,Primary (up to 11 years),Languages
French,GCSE (15-16 years),Languages
French,A-Level,Languages
French,International Baccalaureate,Languages
French,Nationals 4 and 5,Languages
French,Scottish Highers,Languages
Gaelic,Primary (up to 11 years),Languages
Gaelic,GCSE (15-16 years),Languages
Gaelic,A-Level,Languages
Gaelic,International Baccalaureate,Languages
Gaelic,Nationals 4 and 5,Languages
Gaelic,Scottish Highers,Languages
German,Primary (up to 11 years),Languages
German,GCSE (15-16 years),Languages
German,A-Level,Languages
German,International Baccalaureate,Languages
German,Nationals 4 and 5,Languages
German,Scottish Highers,Languages
Greek Classical,Primary (up to 11 years),Languages
Greek Classical,GCSE (15-16 years),Languages
Greek Classical,A-Level,Languages
Greek Classical,International Baccalaureate,Languages
Greek Classical,Nationals 4 and 5,Languages
Greek Classical,Scottish Highers,Languages
Greek Modern,Primary (up to 11 years),Languages
Greek Modern,GCSE (15-16 years),Languages
Greek Modern,A-Level,Languages
Greek Modern,International Baccalaureate,Languages
Greek Modern,Nationals 4 and 5,Languages
Greek Modern,Scottish Highers,Languages
Gujarati,Primary (up to 11 years),Languages
Gujarati,GCSE (15-16 years),Languages
Gujarati,A-Level,Languages
Gujarati,International Baccalaureate,Languages
Gujarati,Nationals 4 and 5,Languages
Gujarati,Scottish Highers,Languages
Hebrew,Primary (up to 11 years),Languages
Hebrew,GCSE (15-16 years),Languages
Hebrew,A-Level,Languages
Hebrew,International Baccalaureate,Languages
Hebrew,Nationals 4 and 5,Languages
Hebrew,Scottish Highers,Languages
Hindi,Primary (up to 11 years),Languages
Hindi,GCSE (15-16 years),Languages
Hindi,A-Level,Languages
Hindi,International Baccalaureate,Languages
Hindi,Nationals 4 and 5,Languages
Hindi,Scottish Highers,Languages
Hungarian,Primary (up to 11 years),Languages
Hungarian,GCSE (15-16 years),Languages
Hungarian,A-Level,Languages
Hungarian,International Baccalaureate,Languages
Hungarian,Nationals 4 and 5,Languages
Hungarian,Scottish Highers,Languages
IELTS and ESOL,Primary (up to 11 years),Languages
IELTS and ESOL,GCSE (15-16 years),Languages
IELTS and ESOL,A-Level,Languages
IELTS and ESOL,International Baccalaureate,Languages
IELTS and ESOL,Nationals 4 and 5,Languages
IELTS and ESOL,Scottish Highers,Languages
Irish,Primary (up to 11 years),Languages
Irish,GCSE (15-16 years),Languages
Irish,A-Level,Languages
Irish,International Baccalaureate,Languages
Irish,Nationals 4 and 5,Languages
Irish,Scottish Highers,Languages
Italian,Primary (up to 11 years),Languages
Italian,GCSE (15-16 years),Languages
Italian,A-Level,Languages
Italian,International Baccalaureate,Languages
Italian,Nationals 4 and 5,Languages
Italian,Scottish Highers,Languages
Japanese,Primary (up to 11 years),Languages
Japanese,GCSE (15-16 years),Languages
Japanese,A-Level,Languages
Japanese,International Baccalaureate,Languages
Japanese,Nationals 4 and 5,Languages
Japanese,Scottish Highers,Languages
Kashmiri,Primary (up to 11 years),Languages
Kashmiri,GCSE (15-16 years),Languages
Kashmiri,A-Level,Languages
Kashmiri,International Baccalaureate,Languages
Kashmiri,Nationals 4 and 5,Languages
Kashmiri,Scottish Highers,Languages
Korean,Primary (up to 11 years),Languages
Korean,GCSE (15-16 years),Languages
Korean,A-Level,Languages
Korean,International Baccalaureate,Languages
Korean,Nationals 4 and 5,Languages
Korean,Scottish Highers,Languages
Languages,Primary (up to 11 years),Languages
Languages,GCSE (15-16 years),Languages
Languages,A-Level,Languages
Languages,International Baccalaureate,Languages
Languages,Nationals 4 and 5,Languages
Languages,Scottish Highers,Languages
Latin,Primary (up to 11 years),Languages
Latin,GCSE (15-16 years),Languages
Latin,A-Level,Languages
Latin,International Baccalaureate,Languages
Latin,Nationals 4 and 5,Languages
Latin,Scottish Highers,Languages
Lithuanian,Primary (up to 11 years),Languages
Lithuanian,GCSE (15-16 years),Languages
Lithuanian,A-Level,Languages
Lithuanian,International Baccalaureate,Languages
Lithuanian,Nationals 4 and 5,Languages
Lithuanian,Scottish Highers,Languages
Malay,Primary (up to 11 years),Languages
Malay,GCSE (15-16 years),Languages
Malay,A-Level,Languages
Malay,International Baccalaureate,Languages
Malay,Nationals 4 and 5,Languages
Malay,Scottish Highers,Languages
Mandarin,Primary (up to 11 years),Languages
Mandarin,GCSE (15-16 years),Languages
Mandarin,A-Level,Languages
Mandarin,International Baccalaureate,Languages
Mandarin,Nationals 4 and 5,Languages
Mandarin,Scottish Highers,Languages
Norwegian,Primary (up to 11 years),Languages
Norwegian,GCSE (15-16 years),Languages
Norwegian,A-Level,Languages
Norwegian,International Baccalaureate,Languages
Norwegian,Nationals 4 and 5,Languages
Norwegian,Scottish Highers,Languages
Persian,Primary (up to 11 years),Languages
Persian,GCSE (15-16 years),Languages
Persian,A-Level,Languages
Persian,International Baccalaureate,Languages
Persian,Nationals 4 and 5,Languages
Persian,Scottish Highers,Languages
Polish,Primary (up to 11 years),Languages
Polish,GCSE (15-16 years),Languages
Polish,A-Level,Languages
Polish,International Baccalaureate,Languages
Polish,Nationals 4 and 5,Languages
Polish,Scottish Highers,Languages
Portuguese,Primary (up to 11 years),Languages
Portuguese,GCSE (15-16 years),Languages
Portuguese,A-Level,Languages
Portuguese,International Baccalaureate,Languages
Portuguese,Nationals 4 and 5,Languages
Portuguese,Scottish Highers,Languages
Punjabi,Primary (up to 11 years),Languages
Punjabi,GCSE (15-16 years),Languages
Punjabi,A-Level,Languages
Punjabi,International Baccalaureate,Languages
Punjabi,Nationals 4 and 5,Languages
